emoji,emoji_clean,sentiment_label,label_numeric
℅,℅,negative,0
☃,:snowman:,neutral,1
🚽,:toilet:,positive,2
📐,:triangular_ruler:,neutral,1
ⓝ,ⓝ,positive,2
✮,✮,neutral,1
⇦,⇦,positive,2
👲,:person_with_skullcap:,neutral,1
🚡,:aerial_tramway:,negative,0
🎑,:moon_viewing_ceremony:,neutral,1
🔬,:microscope:,positive,2
➗,:divide:,negative,0
📈,:chart_increasing:,neutral,1
⌘,⌘,neutral,1
⏪,:fast_reverse_button:,neutral,1
╹,╹,neutral,1
◎,◎,positive,2
🔼,:upwards_button:,neutral,1
꒦,꒦,negative,0
📎,:paperclip:,positive,2
⑅,⑅,positive,2
⍝,⍝,neutral,1
📁,:file_folder:,neutral,1
✭,✭,positive,2
➲,➲,neutral,1
♓,:Pisces:,neutral,1
┏,┏,positive,2
☇,☇,positive,2
♺,♺,neutral,1
♞,♞,neutral,1
࿎,࿎,negative,0
📠,:fax_machine:,neutral,1
👘,:kimono:,positive,2
↙,:down-left_arrow:,positive,2
Ⓕ,Ⓕ,neutral,1
Ⓦ,Ⓦ,neutral,1
Ⓟ,Ⓟ,neutral,1
🕑,:two_o’clock:,neutral,1
💽,:computer_disk:,neutral,1
🕛,:twelve_o’clock:,positive,2
🎫,:ticket:,neutral,1
♈,:Aries:,negative,0
📟,:pager:,neutral,1
℃,℃,neutral,1
↬,↬,positive,2
🕒,:three_o’clock:,neutral,1
🇰,🇰,neutral,1
↱,↱,neutral,1
✍,:writing_hand:,positive,2
⇐,⇐,neutral,1
🏦,:bank:,positive,2
🔻,:red_triangle_pointed_down:,positive,2
ⓟ,ⓟ,positive,2
ⓕ,ⓕ,positive,2
ⓘ,ⓘ,positive,2
♿,:wheelchair_symbol:,positive,2
⇗,⇗,positive,2
⇘,⇘,positive,2
ⓨ,ⓨ,positive,2
ⓙ,ⓙ,positive,2
▫,:white_small_square:,positive,2
🔇,:muted_speaker:,positive,2
⌃,⌃,negative,0
🔖,:bookmark:,positive,2
📜,:scroll:,positive,2
♏,:Scorpio:,neutral,1
🚝,:monorail:,positive,2
☢,:radioactive:,neutral,1
🎏,:carp_streamer:,neutral,1
┘,┘,negative,0
✝,:latin_cross:,negative,0
❖,❖,neutral,1
⍣,⍣,negative,0
📮,:postbox:,negative,0
🕕,:six_o’clock:,negative,0
🇭,🇭,neutral,1
◜,◜,neutral,1
🔯,:dotted_six-pointed_star:,positive,2
➸,➸,positive,2
꒵,꒵,positive,2
🕥,:ten-thirty:,negative,0
♙,♙,neutral,1
▿,▿,neutral,1
⚃,⚃,neutral,1
✽,✽,positive,2
📼,:videocassette:,positive,2
🕐,:one_o’clock:,negative,0
🀄,:mahjong_red_dragon:,positive,2
✾,✾,neutral,1
✬,✬,positive,2
🆑,:CL_button:,neutral,1
✫,✫,positive,2
🕔,:five_o’clock:,negative,0
❣,:heart_exclamation:,positive,2
➱,➱,neutral,1
🆕,:NEW_button:,neutral,1
➢,➢,neutral,1
↕,:up-down_arrow:,neutral,1
📫,:closed_mailbox_with_raised_flag:,positive,2
🉐,:Japanese_bargain_button:,positive,2
♊,:Gemini:,neutral,1
🈂,:Japanese_service_charge_button:,negative,0
🎰,:slot_machine:,negative,0
҂,҂,negative,0
╤,╤,negative,0
➛,➛,neutral,1
♝,♝,neutral,1
❋,❋,neutral,1
✆,✆,neutral,1
📔,:notebook_with_decorative_cover:,positive,2
